,store,sido,gungu,address,phone
0,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)",02-3663-3700
1,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동),02-515-3576
2,강서구청점,서울특별시,강서구,"서울특별시 강서구 화곡로51길 7, 1층(화곡동,광성빌딩)",02-2603-8202
3,개봉1점,서울특별시,구로구,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)",02-2688-9292
4,개포2점,서울특별시,강남구,서울특별시 강남구 선릉로6길 12. 1층(개포동),02-575-2405
5,개포3점,서울특별시,강남구,서울특별시 강남구 개포로22길 23. 지상1층(개포동),02-575-8993
6,경복점,서울특별시,강남구,"서울특별시 강남구 봉은사로43길 8, 1층 102호(논현동)",02-3448-9999
7,고덕역점,서울특별시,강동구,서울특별시 강동구 고덕1동 643-2,02-428-0777
8,고척동점,서울특별시,구로구,서울특별시 구로구 고척2동 164-41,02-2685-0223
9,공덕동점,서울특별시,마포구,서울특별시 마포구 공덕동 111-187,02-707-1371
10,공덕역점,서울특별시,마포구,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",02-704-0401
11,공릉철길공원점,서울특별시,노원구,서울특별시 노원구 동일로184길 69. 1층(공릉동),02-978-9222
12,광나루점,서울특별시,광진구,"서울특별시 광진구 아차산로78길 165, 1층 102호(광장동)",02-455-5111
13,광장동점,서울특별시,광진구,서울특별시 광진구 구의동 203-24,02-455-4566
14,교대역점,서울특별시,서초구,서울특별시 서초구 서초동 1640-1 1층,02-585-4066
15,구로2동점,서울특별시,구로구,서울특별시 구로구 구로2동 726-32,02-854-1929
16,구의동점,서울특별시,광진구,서울특별시 광진구 자양로 322 (구의동),02-455-6200
17,궁동점(서울),서울특별시,구로구,"서울특별시 구로구 부일로15길 4, 1층 103호(궁동)",02-2688-8429
18,금호로타리점,서울특별시,성동구,서울특별시 성동구 무수막길 89-2,02-2234-4870
19,금호역점,서울특별시,성동구,서울특별시 성동구 금호동3가 1394-3,02-2238-6777
20,길동2점,서울특별시,강동구,서울특별시 강동구 천중로49길 29(길동),02-484-1720
21,길동3점,서울특별시,강동구,"서울특별시 강동구 천호대로185길 89(길동, 1층)",02-470-3580
22,길음점,서울특별시,성북구,서울특별시 성북구 길음로 74 길음뉴타운5단지 2-105,02-914-7777
23,까치산점,서울특별시,강서구,서울특별시 강서구 화곡8동 342-7 1층 102,02-2696-2705
24,낙성대1점,서울특별시,관악구,서울특별시 관악구 봉천11동 1642-7,02-877-6451
25,난곡점,서울특별시,관악구,서울특별시 관악구 문성로16가길 43,02-859-7272
26,노량진2동점,서울특별시,동작구,서울특별시 동작구 노량진2동 306-5,02-823-1232
27,논현동점,서울특별시,강남구,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)",02-515-5770
28,답십리점,서울특별시,동대문구,"서울특별시 동대문구 전농로3길 52-2, 1층(답십리동)",02-2247-4880
