addrCd,csForCnt,csNatCnt,gungu,resNm,rnum,sido,yyymm
0,22253,30490,종로구,창덕궁,1,서울특별시,201301
0,82184,105724,종로구,경복궁,2,서울특별시,201301
0,1320,17562,종로구,창경궁,3,서울특별시,201301
0,7579,6996,종로구,종묘,4,서울특별시,201301
0,11276,233169,용산구,국립중앙박물관,5,서울특별시,201301
0,7555,46980,중구,덕수궁,6,서울특별시,201301
0,12,1290,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201301
0,0,14838,서대문구,서대문형무소역사관,8,서울특별시,201301
0,0,24092,서대문구,서대문자연사박물관,9,서울특별시,201301
0,20800,17191,마포구,트릭아이미술관,10,서울특별시,201301
0,64,813,서초구,헌릉ㆍ인릉,11,서울특별시,201301
0,1453,9132,강남구,선릉·정릉,12,서울특별시,201301
