addrCd,csForCnt,csNatCnt,gungu,resNm,rnum,sido,yyymm
0,14137,43677,종로구,창덕궁,1,서울특별시,201101
0,0,6523,종로구,운현궁,2,서울특별시,201101
0,40224,141183,종로구,경복궁,3,서울특별시,201101
0,697,17644,종로구,창경궁,4,서울특별시,201101
0,6837,11486,종로구,종묘,5,서울특별시,201101
0,0,260272,용산구,국립중앙박물관,6,서울특별시,201101
0,0,57787,종로구,서울역사박물관,7,서울특별시,201101
0,5743,92135,중구,덕수궁,8,서울특별시,201101
0,0,234587,중구,서울시립미술관 본관,9,서울특별시,201101
0,6,1747,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201101
0,0,18407,서대문구,서대문형무소역사관,11,서울특별시,201101
0,0,34551,서대문구,서대문자연사박물관,12,서울특별시,201101
0,0,10128,마포구,트릭아이미술관,13,서울특별시,201101
0,168,736,서초구,헌릉ㆍ인릉,14,서울특별시,201101
0,1365,13486,강남구,선릉·정릉,15,서울특별시,201101
0,29335,494730,송파구,롯데월드,16,서울특별시,201101
0,18114,73330,종로구,창덕궁,1,서울특별시,201102
0,0,10682,종로구,운현궁,2,서울특별시,201102
0,44906,230814,종로구,경복궁,3,서울특별시,201102
0,914,35708,종로구,창경궁,4,서울특별시,201102
0,8534,17078,종로구,종묘,5,서울특별시,201102
0,0,224691,용산구,국립중앙박물관,6,서울특별시,201102
0,0,64148,종로구,서울역사박물관,7,서울특별시,201102
0,8269,132920,중구,덕수궁,8,서울특별시,201102
0,0,171376,중구,서울시립미술관 본관,9,서울특별시,201102
0,2,1943,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201102
0,0,14387,서대문구,서대문형무소역사관,11,서울특별시,201102
0,0,20934,서대문구,서대문자연사박물관,12,서울특별시,201102
0,0,15695,마포구,트릭아이미술관,13,서울특별시,201102
0,168,1730,서초구,헌릉ㆍ인릉,14,서울특별시,201102
0,1307,18578,강남구,선릉·정릉,15,서울특별시,201102
0,33180,506321,송파구,롯데월드,16,서울특별시,201102
0,28749,78705,종로구,창덕궁,1,서울특별시,201103
0,0,10024,종로구,운현궁,2,서울특별시,201103
0,73166,228276,종로구,경복궁,3,서울특별시,201103
0,1664,29856,종로구,창경궁,4,서울특별시,201103
0,13186,22238,종로구,종묘,5,서울특별시,201103
0,0,184565,용산구,국립중앙박물관,6,서울특별시,201103
0,0,72844,종로구,서울역사박물관,7,서울특별시,201103
0,10311,64869,중구,덕수궁,8,서울특별시,201103
0,0,260687,중구,서울시립미술관 본관,9,서울특별시,201103
0,2,3000,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201103
0,0,47554,서대문구,서대문형무소역사관,11,서울특별시,201103
0,0,18641,서대문구,서대문자연사박물관,12,서울특별시,201103
0,0,11468,마포구,트릭아이미술관,13,서울특별시,201103
0,351,2085,서초구,헌릉ㆍ인릉,14,서울특별시,201103
0,2546,22696,강남구,선릉·정릉,15,서울특별시,201103
0,23335,288170,송파구,롯데월드,16,서울특별시,201103
0,33551,129150,종로구,창덕궁,1,서울특별시,201104
0,0,17574,종로구,운현궁,2,서울특별시,201104
