,timestamp,magnitude,depth,MMI_scale,lat,lon,location
0,2020/11/19 23:17:28,3.1,15,Ⅰ,37.99 N ,125.37 E ,북한 황해남도 옹진 북쪽 7km 지역
1,2020/11/17 03:10:29,2.6,-,Ⅰ,41.28 N ,129.18 E ,북한 함경북도 길주 북북서쪽 38km 지역
2,2020/11/15 00:00:29,2.1,17,Ⅲ,35.76 N ,129.18 E ,경북 경주시 남남서쪽 11km 지역
3,2020/11/08 15:26:09,2.9,9,Ⅳ,36.41 N ,128.22 E ,경북 상주시 동쪽 5km 지역
4,2020/11/06 18:27:23,2.0,8,Ⅱ,36.43 N ,128.14 E ,경북 상주시 북서쪽 3km 지역
5,2020/11/04 16:50:30,2.4,22,Ⅰ,35.84 N ,129.79 E ,경북 포항시 남구 동남동쪽 43km 해역
6,2020/11/04 07:23:48,2.2,23,Ⅰ,35.83 N ,129.78 E ,경북 포항시 남구 동남동쪽 43km 해역
7,2020/11/04 04:41:54,2.8,-,Ⅰ,38.79 N ,125.72 E ,북한 황해북도 송림 북동쪽 10km 지역
8,2020/10/25 19:10:49,2.5,17,Ⅰ,33.89 N ,125.65 E ,전남 진도군 남서쪽 87km 해역
9,2020/10/24 15:09:01,2.1,21,Ⅰ,33.93 N ,127.45 E ,전남 여수시 거문도 남동쪽 16km 해역
10,2020/10/09 04:38:14,2.1,15,Ⅲ,35.75 N ,129.17 E ,경북 경주시 남남서쪽 13km 지역
11,2020/10/07 04:05:32,2.1,22,Ⅰ,33.92 N ,127.44 E ,전남 여수시 거문도 남동쪽 16km 해역
12,2020/10/03 01:37:30,2.3,-,Ⅰ,38.83 N ,126.03 E ,북한 황해북도 연산 서남서쪽 20km 지역
13,2020/10/02 22:29:50,2.6,-,Ⅰ,38.74 N ,125.90 E ,북한 황해북도 송림 동쪽 23km 지역
14,2020/10/02 21:31:23,2.5,-,Ⅰ,38.74 N ,125.89 E ,북한 황해북도 송림 동쪽 22km 지역
15,2020/09/22 20:08:54,2.1,15,Ⅱ,36.60 N ,129.37 E ,경북 영덕군 북쪽 21km 지역
16,2020/09/20 01:22:14,2.2,17,Ⅲ,36.51 N ,127.14 E ,충남 공주시 북북동쪽 7km 지역
